External ID,Sl no,Debit Acc,DEBIT ACC ID/BANK ACC ID,Credit Account,CREDIT ACC ID,Days,Customer,Entity Internal ID,Date,Advance Ref#,Debit Amt,Credit Amt,Memo,Description
CUST_DEPOSIT-10073,73.5,A10003,616,20020,616,679,CPNA Management & Services Inc.,502,05/14/2024,SO# 36417,6041.38,,Customer Deposits,36417
CUST_DEPOSIT-10074,74,A21001,968,20020,,729,CPNA Management & Services Inc.,502,03/25/2024,SO# 36432,,469.12,Customer Deposits,36432
CUST_DEPOSIT-10074,74.5,A10003,616,20020,616,729,CPNA Management & Services Inc.,502,03/25/2024,SO# 36432,469.12,,Customer Deposits,36432
CUST_DEPOSIT-10075,75,A21001,968,20020,,761,Daren R Snider Construction,3328,02/22/2024,SO# 36075,,48.64,Customer Deposits,36075
CUST_DEPOSIT-10075,75.5,A10003,616,20020,616,761,Daren R Snider Construction,3328,02/22/2024,SO# 36075,48.64,,Customer Deposits,36075
CUST_DEPOSIT-10076,76,A21001,968,20020,,532,Darien Heights Residences,506,10/08/2024,SO# 33529,,2907.31,Customer Deposits,
CUST_DEPOSIT-10076,76.5,A10003,616,20020,616,532,Darien Heights Residences,506,10/08/2024,SO# 33529,2907.31,,Customer Deposits,
CUST_DEPOSIT-10077,77,A21001,968,20020,,390,Davaco - Chilies Restroom remodel Woodlands. TX,3568,02/27/2025,SO# 38904,,2818.04,Customer Deposits,SO28/CD14
CUST_DEPOSIT-10077,77.5,A10003,616,20020,616,390,Davaco - Chilies Restroom remodel Woodlands. TX,3568,02/27/2025,SO# 38904,2818.04,,Customer Deposits,SO28/CD14
CUST_DEPOSIT-10078,78,A21001,968,20020,,271,Days Inn in Georgetown,2441,06/26/2025,SO# 38854,,15346.06,Customer Deposits,
CUST_DEPOSIT-10078,78.5,A10003,616,20020,616,271,Days Inn in Georgetown,2441,06/26/2025,SO# 38854,15346.06,,Customer Deposits,
CUST_DEPOSIT-10079,79,A21001,968,20020,,322,Days Inn in Georgetown,2441,05/06/2025,SO# 38854,,18287.92,Customer Deposits,
CUST_DEPOSIT-10079,79.5,A10003,616,20020,616,322,Days Inn in Georgetown,2441,05/06/2025,SO# 38854,18287.92,,Customer Deposits,
CUST_DEPOSIT-10080,80,A21001,968,20020,,442,Deven Bhakta - Port Aransas Home,515,01/06/2025,SO# 38603,,1143.47,Customer Deposits,1306
CUST_DEPOSIT-10080,80.5,A10003,616,20020,616,442,Deven Bhakta - Port Aransas Home,515,01/06/2025,SO# 38603,1143.47,,Customer Deposits,1306
CUST_DEPOSIT-10081,81,A21001,968,20020,,277,DFW Joseph Investments LLC,1708,06/20/2025,SO# 36476,,65354.81,Customer Deposits,
CUST_DEPOSIT-10081,81.5,A10003,616,20020,616,277,DFW Joseph Investments LLC,1708,06/20/2025,SO# 36476,65354.81,,Customer Deposits,
CUST_DEPOSIT-10082,82,A21001,968,20020,,417,Didier Nader,3565,01/31/2025,SO# 38674,,168.33,Customer Deposits,
CUST_DEPOSIT-10082,82.5,A10003,616,20020,616,417,Didier Nader,3565,01/31/2025,SO# 38674,168.33,,Customer Deposits,
CUST_DEPOSIT-10083,83,A21001,968,20020,,350,Double Tree,2329,04/08/2025,SO# 38807,,10909.1,Customer Deposits,
CUST_DEPOSIT-10083,83.5,A10003,616,20020,616,350,Double Tree,2329,04/08/2025,SO# 38807,10909.1,,Customer Deposits,
CUST_DEPOSIT-10084,84,A21001,968,20020,,344,E&S Flooring LLC,524,04/14/2025,SO# 38817,,4113.75,Customer Deposits,940
CUST_DEPOSIT-10084,84.5,A10003,616,20020,616,344,E&S Flooring LLC,524,04/14/2025,SO# 38817,4113.75,,Customer Deposits,940
CUST_DEPOSIT-10085,85,A21001,968,20020,,545,"ELEMENT FORTSMITH, ARKANSAS",3330,09/25/2024,SO# 36711,,5434.71,Customer Deposits,
CUST_DEPOSIT-10085,85.5,A10003,616,20020,616,545,"ELEMENT FORTSMITH, ARKANSAS",3330,09/25/2024,SO# 36711,5434.71,,Customer Deposits,
CUST_DEPOSIT-10086,86,A21001,968,20020,,545,"ELEMENT FORTSMITH, ARKANSAS",3330,09/25/2024,SO# 36711,,35000,Customer Deposits,576
CUST_DEPOSIT-10086,86.5,A10003,616,20020,616,545,"ELEMENT FORTSMITH, ARKANSAS",3330,09/25/2024,SO# 36711,35000,,Customer Deposits,576
CUST_DEPOSIT-10087,87,A21001,968,20020,,700,"ELEMENT FORTSMITH, ARKANSAS",3330,04/23/2024,SO# 36711,,88226.4,Customer Deposits,36711
CUST_DEPOSIT-10087,87.5,A10003,616,20020,616,700,"ELEMENT FORTSMITH, ARKANSAS",3330,04/23/2024,SO# 36711,88226.4,,Customer Deposits,36711
