External ID,No,Debit Acc,Account Internal ID,Credit Acc #,Date,Entity,Entity ID,Invoice #,Memo,Debit Amt,Credit Amt
AUGCOGS-35170/6,228,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,"ECHO SUITES /MCP Development, Inc",3329,35170/6,"ECHO SUITES /MCP Development, Inc - Aug  material cost transferred from sps",12743.61,
AUGCOGS-35170/6,228.5,,953,A12001 - Inventory (New),08/30/2025,"ECHO SUITES /MCP Development, Inc",3329,35170/6,"ECHO SUITES /MCP Development, Inc - Aug  material cost transferred from sps",,12743.61
AUGCOGS-35485/5,252,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,Interstate Construction Corp,569,35485/5,Interstate Construction Corp - Aug  material cost transferred from sps,122.01,
AUGCOGS-35485/5,252.5,,953,A12001 - Inventory (New),08/30/2025,Interstate Construction Corp,569,35485/5,Interstate Construction Corp - Aug  material cost transferred from sps,,122.01
AUGCOGS-35492/5,253,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,"Krushiker Hospitality Group, Inc/ Homewood Suites- Fayetteville, AR",3542,35492/5,"Krushiker Hospitality Group, Inc/ Homewood Suites- Fayetteville, AR - Aug  material cost transferred from sps",24.00,
AUGCOGS-35492/5,253.5,,953,A12001 - Inventory (New),08/30/2025,"Krushiker Hospitality Group, Inc/ Homewood Suites- Fayetteville, AR",3542,35492/5,"Krushiker Hospitality Group, Inc/ Homewood Suites- Fayetteville, AR - Aug  material cost transferred from sps",,24.00
AUGCOGS-35497/4,254,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,"Krushiker Hospitality Group, Inc/ Homewood Suites- Fayetteville, AR",3542,35497/4,"Krushiker Hospitality Group, Inc/ Homewood Suites- Fayetteville, AR - Aug  material cost transferred from sps",71.79,
AUGCOGS-35497/4,254.5,,953,A12001 - Inventory (New),08/30/2025,"Krushiker Hospitality Group, Inc/ Homewood Suites- Fayetteville, AR",3542,35497/4,"Krushiker Hospitality Group, Inc/ Homewood Suites- Fayetteville, AR - Aug  material cost transferred from sps",,71.79
AUGCOGS-35501/12,255,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,Marriott Fairfield Harrisburg PA,3529,35501/12,Marriott Fairfield Harrisburg PA - Aug  material cost transferred from sps,1631.50,
AUGCOGS-35501/12,255.5,,953,A12001 - Inventory (New),08/30/2025,Marriott Fairfield Harrisburg PA,3529,35501/12,Marriott Fairfield Harrisburg PA - Aug  material cost transferred from sps,,1631.50
AUGCOGS-35614/10,266,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,Wyndham Garden Newark,3543,35614/10,Wyndham Garden Newark - Aug  material cost transferred from sps,6338.43,
AUGCOGS-35614/10,266.5,,953,A12001 - Inventory (New),08/30/2025,Wyndham Garden Newark,3543,35614/10,Wyndham Garden Newark - Aug  material cost transferred from sps,,6338.43
AUGCOGS-36048/4,319,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,LaQuinta - Stafford - TX,3544,36048/4,LaQuinta - Stafford - TX - Aug  material cost transferred from sps,129.94,
AUGCOGS-36048/4,319.5,,953,A12001 - Inventory (New),08/30/2025,LaQuinta - Stafford - TX,3544,36048/4,LaQuinta - Stafford - TX - Aug  material cost transferred from sps,,129.94
AUGCOGS-36096/5,328,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,335 8th Avenue,3545,36096/5,335 8th Avenue - Aug  material cost transferred from sps,4734.40,
AUGCOGS-36096/5,328.5,,953,A12001 - Inventory (New),08/30/2025,335 8th Avenue,3545,36096/5,335 8th Avenue - Aug  material cost transferred from sps,,4734.40
AUGCOGS-36096/7,329,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,335 8th Avenue,3545,36096/7,335 8th Avenue - Aug  material cost transferred from sps,1273.80,
AUGCOGS-36096/7,329.5,,953,A12001 - Inventory (New),08/30/2025,335 8th Avenue,3545,36096/7,335 8th Avenue - Aug  material cost transferred from sps,,1273.80
AUGCOGS-36096/8,330,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,335 8th Avenue,3545,36096/8,335 8th Avenue - Aug  material cost transferred from sps,764.38,
AUGCOGS-36096/8,330.5,,953,A12001 - Inventory (New),08/30/2025,335 8th Avenue,3545,36096/8,335 8th Avenue - Aug  material cost transferred from sps,,764.38
