Invoice #,Customer,Invoice date,Amount
2024-FE-0000455,GIBAM SHOPS SPA,12-19-2024,13165.35
2024-FE-0000460,GIBAM SHOPS SPA,12-20-2024,3930.77
"2025-FE-0000005, 6 , 7",GIBAM SHOPS SPA,01-27-2025,64830.44
"2024-FE-0000421, 12",GIBAM SHOPS SPA,02-04-2025,25248.01
2025-FE-0000013,GIBAM SHOPS SPA,02-04-2025,729.17
2025-FE-0000014,GIBAM SHOPS SPA,02-04-2025,3597
2025-FE-0000015,GIBAM SHOPS SPA,02-04-2025,519.31
2025-FE-0000016,GIBAM SHOPS SPA,02-04-2025,3017.01
2025-FE-0000017,GIBAM SHOPS SPA,02-04-2025,74.12
2025-FE-0000018,GIBAM SHOPS SPA,02-04-2025,637.75
2025-FE-0000019,GIBAM SHOPS SPA,02-04-2025,177.8
2025-FE-0000020,GIBAM SHOPS SPA,02-04-2025,155.2
2025-FE-0000021,GIBAM SHOPS SPA,02-04-2025,363.47
2025-FE-0000023,GIBAM SHOPS SPA,02-06-2025,396.18
2025-FE-0000031,GIBAM SHOPS SPA,02-19-2025,313.76
2025-FE-0000032,GIBAM SHOPS SPA,02-19-2025,928.82
2025-FE-0000034,GIBAM SHOPS SPA,02-19-2025,406.26
"33, 37",GIBAM SHOPS SPA,02-19-2025,92.06
2025-FE-0000040,GIBAM SHOPS SPA,03-13-2025,708.45
2025-FE-0000041,GIBAM SHOPS SPA,03-13-2025,415.06
W-0509,GIBAM SHOPS SPA,05-09-2025,-139822.21
23533943,Graniti Fiandre Italy,10-19-2023,50142.18
23540770,Graniti Fiandre Italy,12-14-2023,60159.82
23541378,Graniti Fiandre Italy,12-20-2023,85588.11
89,GRANITI VICENTIA REALTY 2,01-15-2025,54000
93,GRANITI VICENTIA REALTY 2,02-15-2025,56000
97,GRANITI VICENTIA REALTY 2,03-15-2025,56000
101,GRANITI VICENTIA REALTY 2,04-15-2025,56000
106,GRANITI VICENTIA REALTY 2,05-01-2025,56000
111,GRANITI VICENTIA REALTY 2,06-01-2025,56000
"SR410-2,SR410-4",GREEN RIVER INTL INC,07-17-2024,6010.33
"SR393-4,SR393-4S,SR410-3,",GREEN RIVER INTL INC,10-01-2024,6530.51
Whitaker 04-29-2024 to 05-05-2024,GV Facades LLC,05-06-2024,2903.02
HWY6 05-27-2024 to 06-02-2024,GV Facades LLC,06-03-2024,2152.48
LQ Memphis Window Treatment 05-27-2024 to 06-02-2024,GV Facades LLC,06-03-2024,5204.46
The Eden 05-27-2024 to 06-02-2024,GV Facades LLC,06-03-2024,4552.02
Tribute-Element Carmel IN  FF&E 05-27-2024 to 06-02-2024,GV Facades LLC,06-03-2024,7040
Wyndham Kingman AZ 05-27-2024 to 06-02-2024,GV Facades LLC,06-03-2024,13844.95
Residence Inn Fort Smith 08-19-2024 to 08-25-2024,GV Facades LLC,08-26-2024,2250.72
GSR 12-02-2024 to 12-08-2024,GV Facades LLC,12-09-2024,20974.15
HWY6 12-02-2024 to 12-08-2024,GV Facades LLC,12-09-2024,1859.64
GV TRANSFER,GV Facades LLC,01-09-2025,-245.41
Las Vegas Trade Show 1074 05-05-2025 to 05-11-2025,GV Facades LLC,05-12-2025,4462.72
Jonathan Ramirez HWY6 05-19-2025 to 05-25-2025,GV Facades LLC,05-27-2025,3517.3
335 8th St NY 05-26-2025 to 06-01-2025,GV Facades LLC,06-02-2025,371.5
1430 Lincoln BLVD L.A 06-23-2025 to 06-29-2025,GV Facades LLC,06-30-2025,6990
HWY6 Fab Shop 06-23-2025 to 06-29-2025,GV Facades LLC,06-30-2025,3654
Sahara Las Vegas 06-23-2025 to 06-29-2025,GV Facades LLC,06-30-2025,41155.78
Urban Atelier Group LLC 06-23-2025 to 06-29-2025,GV Facades LLC,06-30-2025,5919.78
"GV048,ctnr6",HARMONY HOSPITALITY CO LTD,05-25-2025,26350.49
GV048,HARMONY HOSPITALITY CO LTD,05-27-2025,92223.14
SR273-41,HARMONY HOSPITALITY CO LTD,05-30-2025,48937.65
SR273-41P2,HARMONY HOSPITALITY CO LTD,05-30-2025,8973.35
SR382-4,HARMONY HOSPITALITY CO LTD,05-30-2025,39159.2
SR382-4P2,HARMONY HOSPITALITY CO LTD,05-30-2025,24187.4
SR410-9,HARMONY HOSPITALITY CO LTD,05-30-2025,49931.82
SR434,HARMONY HOSPITALITY CO LTD,05-30-2025,60597.5
W-0617,HARMONY HOSPITALITY CO LTD,06-17-2025,-28020.2
SR382-2P3,HARMONY HOSPITALITY CO LTD,06-23-2025,40323.79
SR393-10P2,HARMONY HOSPITALITY CO LTD,06-23-2025,1506
W-0623,HARMONY HOSPITALITY CO LTD,06-23-2025,-69985.3
SR151-10,HARMONY HOSPITALITY CO LTD,06-27-2025,4317.02
SR395-5,HARMONY HOSPITALITY CO LTD,06-27-2025,6846.55
851642-2071,"HD EXPO/Hunter Hotel Investment Conference,",06-20-2025,34757.1
DO24-00152,HEBEI VINCENTAA SCULPTURE ENGINEER CO LTD,05-20-2025,22000
W-0612,Hilltop Stones Inc.,06-12-2025,-10557.02
11569,HJ sink,06-16-2025,-9900
H6105-313399,Home Depot,03-12-2025,1917.02
H6140-255187,Home Depot,03-26-2025,1329.61
25017885541,Hotel Engine,01-28-2025,118.99
25017885542,Hotel Engine,01-28-2025,118.99
25017929001,Hotel Engine,02-10-2025,366.37
25017929002,Hotel Engine,02-10-2025,366.37
25017929003,Hotel Engine,02-10-2025,366.37
25018106058,Hotel Engine,02-10-2025,113.08
25018106059,Hotel Engine,02-10-2025,113.08
496386-2501,Hotel Engine,02-10-2025,1563.25
496386-2502,Hotel Engine,02-24-2025,3418.21
25069285668,Hotel Engine,06-02-2025,151.77
25069285680,Hotel Engine,06-02-2025,225.49
W-0521,Indus Trade & Technology,05-21-2025,-1248.37
GE/028223/2024,INTERGLOBO(FREIGHT),10-23-2024,15125
GE/029931/2024,INTERGLOBO(FREIGHT),11-11-2024,4675.85
GE/000126/2025,INTERGLOBO(FREIGHT),01-02-2025,13236
GE/000127/2025,INTERGLOBO(FREIGHT),01-02-2025,4582
ICB/000170/2025,INTERGLOBO(FREIGHT),01-03-2025,950
RLN00012/2025,INTERGLOBO(FREIGHT),01-03-2025,9350
ICB/000313/2025,INTERGLOBO(FREIGHT),01-06-2025,100
ICB/000351/2025,INTERGLOBO(FREIGHT),01-06-2025,100
ICB/000352/2025,INTERGLOBO(FREIGHT),01-06-2025,100
GE/000665/2025,INTERGLOBO(FREIGHT),01-08-2025,21385
GE/000694/2025,INTERGLOBO(FREIGHT),01-08-2025,8019
ICB/000515/2025,INTERGLOBO(FREIGHT),01-10-2025,100
GE/001153/2025,INTERGLOBO(FREIGHT),01-13-2025,3587
GE/001157/2025,INTERGLOBO(FREIGHT),01-13-2025,4547
GE/001164/2025,INTERGLOBO(FREIGHT),01-13-2025,12561
GE/001166/2025,INTERGLOBO(FREIGHT),01-13-2025,12561
GE/002002/2025,INTERGLOBO(FREIGHT),01-17-2025,5112
ICB/001106/2025,INTERGLOBO(FREIGHT),01-17-2025,100
GE/002502/2025,INTERGLOBO(FREIGHT),01-22-2025,3937
GE/002628/2025,INTERGLOBO(FREIGHT),01-22-2025,3367
ICB/001204/2025,INTERGLOBO(FREIGHT),01-23-2025,100
ICB/001536/2025,INTERGLOBO(FREIGHT),01-27-2025,100
GE/001504/2025,INTERGLOBO(FREIGHT),02-01-2025,2875
ICB/002051/2025,INTERGLOBO(FREIGHT),02-03-2025,100
ICB/002054/2025,INTERGLOBO(FREIGHT),02-03-2025,100
ICB/002144/2025,INTERGLOBO(FREIGHT),02-04-2025,100
ICB/002152/2025,INTERGLOBO(FREIGHT),02-04-2025,100
GE/004632/2025,INTERGLOBO(FREIGHT),02-07-2025,4062
GE/004649/2025,INTERGLOBO(FREIGHT),02-07-2025,4062
ICB/002281/2025,INTERGLOBO(FREIGHT),02-07-2025,100
ICB/002350/2025,INTERGLOBO(FREIGHT),02-07-2025,100
GE/004927/2025,INTERGLOBO(FREIGHT),02-12-2025,12861
ICB/002553/2025,INTERGLOBO(FREIGHT),02-12-2025,100
ICB/002651/2025,INTERGLOBO(FREIGHT),02-13-2025,100
ICB/002666/2025,INTERGLOBO(FREIGHT),02-13-2025,100
RLN000183/2025,INTERGLOBO(FREIGHT),02-24-2025,2765
