External ID,Item ID,Item,Invoice ID/Reference,Length,Vendor ID,Vendor Name,Date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Memo,Location,Bin,Bin ID,SERIAL/LOT NUMBER
NSOPENBALBILL151,40391,cogs,2023-FE-0000516,15,1253,GIBAM SHOPS SPA,12/28/2023,1422.94,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1082
NSOPENBALBILL152,40391,cogs,"518, 521",8,1253,GIBAM SHOPS SPA,12/28/2023,6957.88,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1083
NSOPENBALBILL153,40391,cogs,"522, 527, 537, 539",18,1253,GIBAM SHOPS SPA,12/28/2023,5599.05,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1084
NSOPENBALBILL154,40391,cogs,2023-FE-0000531,15,1253,GIBAM SHOPS SPA,12/31/2023,4225.59,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1085
NSOPENBALBILL155,40391,cogs,2023-FE-0000533,15,1253,GIBAM SHOPS SPA,12/31/2023,1573.68,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1086
NSOPENBALBILL156,40391,cogs,2023-FE-0000535,15,1253,GIBAM SHOPS SPA,12/31/2023,3966.62,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1087
NSOPENBALBILL157,40391,cogs,2023-FE-0000538,15,1253,GIBAM SHOPS SPA,12/31/2023,14318.36,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1088
NSOPENBALBILL158,40391,cogs,2023-FE-0000544,15,1253,GIBAM SHOPS SPA,12/31/2023,21576.50,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1089
NSOPENBALBILL159,40391,cogs,2023-FE-0000549,15,1253,GIBAM SHOPS SPA,12/31/2023,296.84,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1090
NSOPENBALBILL160,40391,cogs,2023-FE-0000553,15,1253,GIBAM SHOPS SPA,12/31/2023,7368.88,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1091
NSOPENBALBILL162,40391,cogs,"530, 536",8,1253,GIBAM SHOPS SPA,12/31/2023,568.76,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1092
NSOPENBALBILL164,40391,cogs,36065 - PI,10,1253,GIBAM SHOPS SPA,01/01/2024,30910.47,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1093
NSOPENBALBILL165,40391,cogs,2023-FE-0000392,15,1253,GIBAM SHOPS SPA,01/01/2024,1425.18,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1094
NSOPENBALBILL166,40391,cogs,2024-FE-0000001,15,1253,GIBAM SHOPS SPA,01/11/2024,997.21,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,Import SPS data by Invoice in NetSuite,2,CW-001,17,1095
