External ID,Item internal Id,sold (COGS),Invoice #/Rerence No.,Vendor ID,Vendor,Invoice date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Account ID
NSOPENBALBILL548,40391,cogs,24JS112001,137,"Jasfer Industry Co., Limited",01/23/2025,$150.99,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL549,40391,cogs,24JSF10056,137,"Jasfer Industry Co., Limited",01/24/2025,$137.10,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL550,40391,cogs,24JSF11004,137,"Jasfer Industry Co., Limited",01/24/2025,"$2,155.70",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL551,40391,cogs,24JSF12008,137,"Jasfer Industry Co., Limited",01/24/2025,$10.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL552,40391,cogs,W-0124,137,"Jasfer Industry Co., Limited",01/24/2025,"-$26,290.30",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL553,40391,cogs,25JSF01004,137,"Jasfer Industry Co., Limited",02/13/2025,$527.59,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL554,40391,cogs,24JSF07044,137,"Jasfer Industry Co., Limited",02/24/2025,"$30,977.29",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL555,40391,cogs,24JSF10039,137,"Jasfer Industry Co., Limited",02/25/2025,"$3,995.42",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL556,40391,cogs,24BL110706,137,"Jasfer Industry Co., Limited",03/04/2025,"$1,468.92",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL557,40391,cogs,24JSF08073,137,"Jasfer Industry Co., Limited",03/13/2025,"$6,798.95",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
